 ,, ,,,,,,,,,
Seed ID,Task,Categories,Difficulty Vars,Rules,Duplicate,Source, Completion,Remark,,,
Gym-V 103,Tower Of Hanoi,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Identify next logical steps in visual Towers of Hanoi,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 104,Tsumego,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Solve Go life-and-death problems visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 105,Twiddle Puzzle,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Analyze a Twiddle puzzle board visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 106,Ultra Tictactoe,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Evaluate nested/Ultimate tic-tac-toe states,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 107,Word Search,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Identify string combinations inside visual character grids,,https://github.com/ModalMinds/gym-v,zixiao,,,,
Gym-V 108,Zuma,Single-turn / Puzzles,"Parametric variables (levels 0, 1, 2)",Predict match patterns mimicking Zuma logic visually,,https://github.com/ModalMinds/gym-v,zixiao,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Enigmata_binario,Binario Puzzle,Logic Grid,"grid_size, filled_ratio",Fill a grid with 0s and 1s; no more than two same numbers adjacent; balanced counts per row/col.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_campsite,Campsite (Tents),Spatial Constraint,"grid_size, num_tents",Place tents near trees; tents cannot touch each other; must match row/col counts.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_car_painting,Car Painting,Scheduling / Logic,"num_cars, num_colors",Logical sequencing of painting tasks based on constraints and dependencies.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_checkmate_in_one,Checkmate in One,Game Theory (Chess),board_complexity,Find the single legal move that results in an immediate checkmate.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_countdown,Countdown,Arithmetic,"num_operands, target",Use a set of numbers and operators to reach a specific target value exactly.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_crypto_KKA,Cryptarithmetic (KKA),Cipher / Logic,"word_length, num_words",Decipher substitution codes where letters represent distinct digits in an equation.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_crypto_KPA,Known Plaintext Attack,Cipher / Logic,"hint_length, text_length",Crack a substitution cipher given a partial hint or known segment of plaintext.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_eight_puzzle,8-Puzzle,Sliding Puzzle,scramble_steps,Transform a 3x3 grid of numbered tiles to a target state via a single empty space.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_fifteen_puzzle,15-Puzzle,Sliding Puzzle,scramble_steps,A 4x4 version of the sliding tile puzzle; higher search space than 8-puzzle.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_game24,Game of 24,Arithmetic,difficulty,Use four given integers and basic operators to reach exactly 24.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_hamiltonian_cycle,Hamiltonian Cycle,Graph Theory,"num_nodes, edge_density",Find a closed loop that visits every vertex in a given graph exactly once.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_hamiltonian_path,Hamiltonian Path,Graph Theory,"num_nodes, edge_density",Find a path (not necessarily a loop) that visits every vertex exactly once.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_hitori,Hitori,Logic Grid,grid_size,Eliminate numbers so rows/cols have no duplicates; shaded cells cannot touch.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_kakurasu,Kakurasu,Logic Grid,grid_size,Select cells such that weighted sums match row and column target clues.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_knights_and_knaves,Knights & Knaves,Boolean Logic,"num_actors, clue_count",Determine who is a truth-teller or a liar based on their self-referential statements.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_light_up,Light Up (Akari),Spatial Logic,"grid_size, wall_density",Place bulbs to light all cells; bulbs cannot see each other; obey wall numbers.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_magic_square,Magic Square,Arithmetic,grid_size,"Arrange numbers in a grid so all rows, columns, and diagonals sum to the same constant.",,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_maze,Maze Pathfinding,Spatial / Planning,"grid_size, complexity",Find a valid path from the start to the end point in a 2D grid maze.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_minesweeper,Minesweeper,Logic / Deduction,"grid_size, num_mines",Identify all mine locations based on numerical counts of adjacent mines.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_nine_puzzle,9-Puzzle,Sliding Puzzle,scramble_steps,A variation of the 8-puzzle (often 3x3 with specific boundary rules).,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_sixteen_puzzle,16-Puzzle,Sliding Puzzle,scramble_steps,A 4x4 sliding puzzle variation.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_skyscraper,Skyscraper,Perspective Logic,grid_size,"Fill grid with heights; clues on edges show count of visible ""buildings"" from there.",,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_sum_skyscraper,Sum Skyscraper,Perspective Logic,grid_size,Variant where edge clues represent the sum of visible building heights.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_slant,Slant,Connectivity,grid_size,Draw diagonals in a grid; follow intersection counts; no loops; all white space connected.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_star_battle,Star Battle,Logic Constraint,"grid_size, num_stars",Place stars in regions; no two stars can touch; fixed star count per row/col.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_stack_permutation,Stack Permutation,Algorithms,num_elements,Determine if a target sequence can be generated from an input using a single stack.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_sudoku,Sudoku,Logic Grid,"grid_size, fixed_cells",Standard Sudoku: complete the grid so every row/col/box has unique digits.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_tic_tac_toe,Tic-Tac-Toe,Game Theory,board_state,Identify the winning move or current game status for a 3x3 grid.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_twiddle,Twiddle Puzzle,Permutation,"grid_size, rotation_steps",Reach a target configuration by rotating 2x2 sub-grids within a larger grid.,,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
Enigmata_zebra_logic,Zebra Logic,Logical Deduction,"num_houses, attributes","Solve the ""Einstein Puzzle"" by mapping multiple attributes to entities using clues.",,https://github.com/BytedTsinghua-SIA/Enigmata,zixiao,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
VBVR-G-3,Stable Sort,Perception,"Number of objects, sorting attributes",Maintain relative order while sorting objects,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-4,Identify Objects,Perception,"Number of objects, clutter level",Identify and locate specific objects in the scene,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-5,Multi Object Placement,Perception,"Grid size, number of objects",Understand spatial placement of multiple objects,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-9,Identify Objects In Region,Perception,"Region size, object density",Identify objects within a specific bounded region,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-19,Sort Objects By Rule,Perception,"Number of objects, rule complexity",Sort objects according to given custom rules,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-22,Attention Shift Same,Perception,"Number of shifts, object similarity",Track attention shift between similar objects,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-39,Attention Shift Different,Perception,"Number of shifts, object difference",Track attention shift between different objects,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-43,Understand Scene Structure,Perception,"Scene complexity, hierarchy level",Understand overall hierarchical structure of the scene,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-54,Connecting Color,Perception,"Number of connections, color variety",Connect objects by matching colors,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-132,Find Fragment For Gap Filling,Perception,"Pattern complexity, number of fragments",Identify the correct fragment to fill the gap,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-136,Locate Point In Overlapping Area,Perception,"Number of overlapping regions, point density",Locate a specific point in overlapping areas,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-137,Identify Figure In Overlapping Area,Perception,Overlap complexity,Identify figure hidden in overlapping areas,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-138,Spot Unique Non-Repeated Color,Perception,"Number of objects, color repetition",Find the unique color that appears only once,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-141,Identify Polygon With Most Sides,Perception,"Number of polygons, side range",Identify the polygon with the maximum number of sides,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-143,Select Box With Most Dots,Perception,"Number of boxes, dot count variation",Select the box containing the most dots,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-146,Circle All Squares From Mixed Shapes,Perception,Shape mixture complexity,Identify and mark all squares among mixed shapes,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-147,Identify Unique Figure In Uniform Set,Perception,"Set size, feature difference",Find the unique figure in a uniform set,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-158,Identify All Hollow Points,Perception,"Point density, hollow ratio",Identify all hollow (unfilled) points,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-161,Mark Second Largest Shape,Perception,"Number of shapes, size variation",Identify and mark the second largest shape,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-165,Mark Tangent Point After Motion,Perception,"Motion complexity, number of shapes",Mark the tangent point after objects move,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-166,Highlight Horizontal Lines,Perception,"Number of lines, orientation mix",Highlight all horizontal lines,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-167,Select Longest Polygon Side,Perception,Polygon complexity,Select the longest side among polygons,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-168,Identify Nearest To Square Rectangle,Perception,Rectangle variation,Identify rectangle closest to a perfect square,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-169,Locate Intersection Of Segments,Perception,Number of line segments,Locate intersection points of line segments,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-174,Arrange Circles By Circumference,Perception,"Number of circles, size variation",Arrange circles in order of circumference,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-189,Draw Midpoint Perpendicular Line,Perception,"Segment length, angle variation",Draw perpendicular line at the midpoint,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-195,Select Nearest 2:1 Rectangle,Perception,Rectangle ratio variation,Select rectangle closest to 2:1 aspect ratio,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-198,Mark Right Angled Triangles,Perception,Triangle variety,Mark all right-angled triangles,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-199,Locate Line Intersections,Perception,Number of lines,Locate all intersection points of multiple lines,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-202,Mark Wave Peaks,Perception,"Wave complexity, noise level",Mark the peaks of wave patterns,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-206,Identify Pentagons,Perception,Polygon mix,Identify all pentagons (5-sided),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-212,Find Incorrect Arrow Direction,Perception,Number of arrows,Find the arrow pointing in the wrong direction,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-218,Identify Largest Angle In Triangle,Perception,Triangle variation,Identify the triangle with the largest angle,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-222,Mark Tangent Point Of Circles,Perception,Number of circles,Mark tangent points between circles,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-223,Highlight Horizontal Lines,Perception,Line density,Highlight all horizontal lines (variant),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-248,Mark Asymmetrical Shape,Perception,Symmetry level,Identify and mark asymmetrical shapes,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-250,Color Triple Intersection Red,Perception,Overlap complexity,Color the region where three areas intersect red,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-1,Color Mixing,Perception,"Number of colors, mixing rules",Predict result of color mixing,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-2,Pigment Color Mixing (Subtractive),Perception,"Pigment types, mixture count",Simulate subtractive pigment color mixing,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-16,Color Addition,Perception,"Number of balls, color combinations",Predict resulting color from additive mixing,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-17,Color Subtraction,Perception,Color layers,Predict result of color subtraction,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-31,Ball Eating,Perception,"Number of balls, eating rules",Simulate ball eating / merging process,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-33,Counting Object,Perception,"Object density, occlusion",Accurately count objects,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-38,Majority Color,Perception,Color distribution,Identify the majority color in the scene,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-65,Animal Size Sorting,Perception,"Animal count, size variation",Sort animals by size,,https://github.com/VBVR-DataFactory,zixiao,,,,
,,,,,,,,,,,
VBVR-G-7,Return To Correct Bin,Abstraction,"Number of objects, bin rules",Return each object to its rule-defined correct bin,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-26,Maintain Object Identity,Abstraction,"Transformation level, object count",Maintain object identity across visual changes,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-29,Chart Extreme With Data,Abstraction,"Data complexity, chart type",Identify extreme values in visualized data,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-37,Symmetry Random,Abstraction,"Pattern size, symmetry degree",Reason about partially random symmetric patterns,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-38,Symmetry Shape,Abstraction,Shape complexity,Complete or identify shape symmetry,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-41,Grid Highest Cost,Abstraction,"Grid size, cost distribution",Find path with highest total cost in grid,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-44,BFS,Abstraction,"Graph/tree size, branching factor",Perform breadth-first search reasoning,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-49,Complete Missing Contour Segments,Abstraction,Contour complexity,Complete missing parts of contours,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-51,Predict Next Color,Abstraction,"Sequence length, pattern complexity",Predict next color based on observed pattern,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-131,Select Next Figure (Increasing Size),Abstraction,"Sequence length, growth rate",Select next figure in increasing size sequence,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-133,Select Next Figure (Decreasing Size),Abstraction,"Sequence length, decay rate",Select next figure in decreasing size sequence,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-134,Select Next Figure (Large-Small Alternating),Abstraction,Alternation complexity,Select next in large-small alternating sequence,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-135,Select Next Figure (Small-Large Alternating),Abstraction,Alternation complexity,Select next in small-large alternating sequence,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-193,Draw Next Sized Shape,Abstraction,Size progression rule,Draw the shape with the next size in sequence,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-7,Shape Color Change,Abstraction,Color transformation rules,Apply color change rule to shape,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-8,Shape Rotation,Abstraction,Rotation angle steps,Apply rotation transformation,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-9,Shape Scaling,Abstraction,Scaling factor steps,Apply size scaling transformation,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-10,Shape Outline Fill,Abstraction,Style transformation (outline vs fill),Apply outline-to-fill or fill-to-outline change,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-11,Shape Color Then Move,Abstraction,Sequential transformation steps,"First color change, then movement",,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-12,Shape Color Then Scale,Abstraction,Sequential transformation steps,"First color change, then scaling",,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-13,Shape Outline Then Move,Abstraction,Sequential transformation steps,"First outline change, then movement",,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-14,Shape Scale Then Outline,Abstraction,Sequential transformation steps,"First scaling, then outline change",,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-21,Construction Blueprint,Abstraction,Structure complexity,Understand or complete construction blueprint,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-29,Ball Color Change,Abstraction,Color rule,Apply color change to balls,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-30,Bookshelf,Abstraction,Arrangement rules,Arrange books according to rules,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-37,Light Sequence,Abstraction,"Sequence length, activation rules",Understand and continue light activation sequence,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-43,Object Subtraction,Abstraction,Number of objects removed,Reason after objects are subtracted,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-45,Sequence Completion,Abstraction,Sequence complexity,Complete logical visual sequence,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-47,Sliding Puzzle,Abstraction,"Puzzle size (3x3/4x4), scramble level",Solve or simulate sliding tile puzzle,,https://github.com/VBVR-DataFactory,zixiao,,,,
,,,,,,,,,,,
VBVR-G-1,Object Trajectory,Transformation,"Number of objects, path curvature, speed, obstacles, occlusion frequency",Predict or simulate the continuous motion path of moving object(s),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-2,Reorder Objects,Transformation,"Number of objects, initial positions, sorting criteria (size/color/shape)",Rearrange objects into a specified target order through motion,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-6,Resize Object,Transformation,"Initial size, scale factor, animation steps, shape type",Apply continuous size scaling transformation to an object,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-8,Track Object Movement,Transformation,"Speed, direction changes, number of objects, occlusions",Continuously track one or more objects across frames despite interruptions,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-11,Handle Object Reappearance,Transformation,"Occlusion duration, reappearance delay, identity persistence",Recognize the same object after it disappears and reappears,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-21,Multiple Occlusions Vertical,Transformation,"Number of occluders, vertical stacking, motion direction",Track object visibility changes when moving behind multiple vertical occluders,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-24,Separate Objects No Spin,Transformation,"Initial clustering, separation distance, number of objects",Separate overlapping/clustered objects through translation only (no rotation),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-25,Separate Object Spinning,Transformation,"Spin speed, separation force, collision elasticity",Objects spin while separating after contact; predict final positions,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-34,Object Packing,Transformation,"Container shape, object sizes, packing constraints",Pack multiple objects into a bounded container following spatial rules,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-36,Multiple Occlusions Horizontal,Transformation,"Horizontal occluder count, motion path, visibility intervals",Track objects moving horizontally behind layered occluders,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-40,Combined Objects Spinning,Transformation,"Combined body shape, spin rate, friction, moment of inertia",Multiple objects merge and rotate together as a single rigid body,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-50,Suppress Spurious Edges,Transformation,"Noise level, edge detection threshold, motion blur",Filter out false edges caused by motion or low contrast,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-194,Construct Concentric Ring,Transformation,"Number of rings, radius increments, color alternation",Build nested concentric rings with precise radial spacing,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-240,Add Borders To Unbordered Shapes,Transformation,"Border thickness, shape complexity, color contrast",Detect and add consistent outlines to shapes without borders,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-4,Symbol Substitution,Transformation,"Symbol set size, substitution rule, sequence length",Replace symbols according to a fixed mapping rule,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-5,Symbol Deletion,Transformation,"Deletion pattern, sequence complexity, positional randomness",Remove specific symbols from a sequence based on rules,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-6,2D Geometric Transformation,Transformation,"Transformation type (rotate/scale/translate), angle, magnitude, steps","Apply affine geometric transformations (rotation, scaling, translation) to shapes",,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-8,Shape Rotation,Transformation,"Rotation angle steps, sequence complexity",Apply rotation transformation in visual analogy tasks,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-9,Shape Scaling,Transformation,"Scaling factor steps, sequence complexity",Apply size scaling transformation in visual analogy tasks,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-10,Shape Outline Fill,Transformation,Style change (outline vs filled),Transform shape style between filled and outline,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-22,Construction Stack,Transformation,"Block sizes, stacking order, stability constraints",Stack blocks into a stable structure following rules,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-27,Move 2 Objects To 2 Targets,Transformation,"Distance, obstacles, movement coordination",Coordinate movement of two objects to reach two distinct targets,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-46,Shape Sorter,Transformation,"Number of shapes, sorting attributes (color/shape), slot count",Move and sort colored shapes into matching outline slots,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-55,3D Mental Rotation,Transformation,"Rotation angle, voxel structure complexity",Understand and simulate 3D mental rotation of voxel structures,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-83,Planar Warp Verification,Transformation,"Warp intensity, grid complexity, homography parameters",Verify or apply planar homography / warp transformations,,https://github.com/VBVR-DataFactory,zixiao,,,,
,,,,,,,,,,,
,,,,,,,,,,,
VBVR-G-27,Read Chart Data Semantic Comprehension,Knowledge,"Chart type, data density, label complexity, semantic ambiguity",Extract and understand semantic meaning from visual chart data,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-30,Chart Extreme Without Data,Knowledge,"Chart complexity, visual encoding strength, distractors",Infer maximum/minimum values purely from visual chart representation,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-35,Hit Target After Bounce,Knowledge,"Bounce angle, surface type, friction, target position, initial velocity",Predict trajectory after reflection using law of reflection,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-48,Multiple Bounces,Knowledge,"Number of bounces, surface variations, damping factor, velocity",Iteratively apply reflection and momentum conservation across multiple bounces,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-160,Circle Largest Numerical Value,Knowledge,"Number of values, digit length, visual distractors",Identify and mark the numerically largest value,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-162,Locate Twelve O'Clock Arrows,Knowledge,"Number of arrows, orientation variety, occlusions",Identify arrows pointing exactly to the 12 o'clock position,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-163,Identify One and Nine,Knowledge,"Font styles, rotation angles, visual similarity",Distinguish digits '1' and '9' under varying visual transformations,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-200,Circle Maximum Value,Knowledge,"Value range, number of items, visual noise",Identify and circle the maximum numerical value,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-217,Circle Central Dot,Knowledge,"Number of dots, arrangement (row/curve), symmetry",Identify the dot with equal number of dots on both sides (middle by count),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-247,Identify Chinese Character,Knowledge,"Character complexity, stroke variation, font style",Recognize a specific Chinese character among distractors,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-273,High Density Liquid,Knowledge,"Liquid density variation, object buoyancy, container shape",Apply buoyancy principles (Archimedes_ principle) to predict sinking/floating,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-3,Symbol Reordering,Knowledge,"Sequence length, symbol variety, reordering rule complexity",Reorder symbols according to logical or syntactic rules,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-15,Ball Bounces Given Time,Knowledge,"Initial height, damping coefficient, time duration",Predict number of bounces or height within a given time (exponential decay),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-18,Glass Refraction,Knowledge,"Glass thickness, incidence angle, refractive indices",Predict light path bending using Snell__ Law,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-19,Mirror Reflection,Knowledge,"Mirror position/orientation, object placement, multiple mirrors",Predict reflection path using law of reflection,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-23,Domino Chain Branch Path Prediction,Knowledge,"Chain length, branch count, trigger points",Predict propagation path in branching domino causal chain,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-24,Domino Chain Gap Analysis,Knowledge,"Chain length, gap positions, visual clutter",Identify missing or broken links in a domino sequence,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-34,Dot to Dot Task,Knowledge,"Dot count, shape complexity, ordering constraints",Connect dots in correct sequential order to form the target shape,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-52,Traffic Light,Knowledge,"Cycle duration, number of lights, synchronization",Understand traffic light state transitions and timing logic,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-53,Clock,Knowledge,"Clock type (analog), hand positions, time arithmetic",Interpret or compute time on analog clock (hour/minute hand angles),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-62,Gravity Physics,Knowledge,"Mass, initial velocity, gravity strength, air resistance",Simulate parabolic motion and bounces under gravity (Newton__ laws),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-75,Communicating Vessels,Knowledge,"Vessel shapes, initial levels, connectivity",Predict equilibrium liquid levels in connected vessels (equal pressure),,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-O-87,Fluid Diffusion,Knowledge,"Diffusion rate, concentration gradient, barriers",Simulate and predict fluid (ink) diffusion over time (Fick__ laws),,https://github.com/VBVR-DataFactory,zixiao,,,,
,,,,,,,,,,,
,,,,,,,,,,,
VBVR-G-12,Grid Obtaining Award,Spatiality,"Grid size, number of awards/obstacles, path constraints",Navigate grid to collect awards while avoiding obstacles,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-13,Grid Number Sequence,Spatiality,"Grid size, sequence length, pattern complexity",Recognize and continue number patterns arranged in a grid,,https://github.com/VBVR-DataFactory,zixiao,,,,
VBVR-G-14,Grid Color Sequence,Spatiality,"Grid size, sequence length, color variety",Recognize and continue color patterns in a grid,,https://github.com/VBVR-DataFactory,zixiao,,,,
